pp,type,item,subject,property,by_virtue_of,cue_validity,generic,prevalence,source
A10AVWALIHR4UQ,principled,airplanes have wings,airplanes, have wings,,,1.0,,novel
A10AVWALIHR4UQ,principled,ambulances have sirens,ambulances, have sirens,1.0,,,,novel
A10AVWALIHR4UQ,principled,americans live in america,Americans, live in America,,1.0,,,novel
A10AVWALIHR4UQ,principled,ants are insects,ants, are insects,,,,1.0,novel
A10AVWALIHR4UQ,principled,architects design buildings,architects, design buildings,,0.8333333333333334,,,novel
A10AVWALIHR4UQ,principled,bears can roar,bears, can roar,,,0.8333333333333334,,novel
A10AVWALIHR4UQ,principled,bees have wings,bees, have wings,1.0,,,,novel
A10AVWALIHR4UQ,principled,bikers ride motorcycles,bikers, ride motorcycles,,,,1.0,novel
A10AVWALIHR4UQ,principled,birds have wings,birds, have wings,,0.6666666666666666,,,novel
A10AVWALIHR4UQ,principled,cars have four wheels,cars, have four wheels,,,0.8333333333333334,,novel
A10AVWALIHR4UQ,principled,cats are animals,cats, are animals,1.0,,,,novel
A10AVWALIHR4UQ,principled,celebrities are famous,celebrities, are famous,,,,1.0,novel
A10AVWALIHR4UQ,principled,cheerleaders are spirited,cheerleaders, are spirited,,0.0,,,novel
A10AVWALIHR4UQ,principled,dancers move gracefully ,dancers, move gracefully,,,0.8333333333333334,,novel
A10AVWALIHR4UQ,principled,deer have antlers,deer, have antlers,1.0,,,,novel
A10AVWALIHR4UQ,principled,diapers are absorbent,diapers, are absorbent,,,,1.0,novel
A10AVWALIHR4UQ,principled,doctors diagnose ailments ,doctors, diagnose ailments,,0.6666666666666666,,,novel
A10AVWALIHR4UQ,principled,dogs have tails,dogs, have tails,0.8333333333333334,,,,novel
A10AVWALIHR4UQ,principled,eggshells are fragile ,eggshells, are fragile,,,1.0,,novel
A10AVWALIHR4UQ,principled,elk have antlers,elk, have antlers,1.0,,,,novel
A10AVWALIHR4UQ,principled,elms are trees,elms, are trees,,,,1.0,novel
