responses,rt,answer,catch,choices,item,prompt,property,question_type,stimulus,subject,trial_num,type
"{""rating"":6}",5302.9000000059605,,,"very unlikely,,,neither unlikely nor likely,,,very likely",hair nets are black ,, are black,prevalence,"Think about hair nets, how likely are they to be black?",hair nets,2,statistical
"{""rating"":6}",3193.9000000059605,,,"very unlikely,,,neither unlikely nor likely,,,very likely",raincoats are waterproof,, are waterproof,prevalence,"Think about raincoats, how likely are they to be waterproof?",raincoats,8,principled
"{""rating"":5}",5394.20000000298,,,"very unlikely,,,neither unlikely nor likely,,,very likely",mammals are placental mammals,, are placental mammals,prevalence,"Think about mammals, how likely are they to be placental mammals?",mammals,12,statistical
"{""rating"":6}",4146.59999999404,,,"very unlikely,,,neither unlikely nor likely,,,very likely",worms are used as bait,, are used as bait,prevalence,"Think about worms, how likely are they to be used as bait?",worms,16,statistical
"{""rating"":6}",3640.70000000298,,,"very unlikely,,,neither unlikely nor likely,,,very likely",carrots are crunchy,, are crunchy,prevalence,"Think about carrots, how likely are they to be crunchy?",carrots,21,principled
"{""rating"":6}",4358.600000008941,,,"very unlikely,,,neither unlikely nor likely,,,very likely",snakes lay eggs,, lay eggs,prevalence,"Think about snakes, how likely are they to lay eggs?",snakes,22,principled
"{""rating"":6}",3043.6000000089407,,,"very unlikely,,,neither unlikely nor likely,,,very likely",golfers use clubs,, use clubs,prevalence,"Think about golfers, how likely are they to use clubs?",golfers,25,principled
"{""rating"":6}",4059.20000000298,,,"very unlikely,,,neither unlikely nor likely,,,very likely",bikers have tattoos ,, have tattoos,prevalence,"Think about bikers, how likely are they to have tattoos?",bikers,27,statistical
"{""rating"":0}",4171.9000000059605,completely false,filler,"completely false,,,neither true nor false,,,completely true",,How true is the above statement?,,prevalence,One cent is a lot of money.,,33,
"{""rating"":6}",2521.5999999940395,completely true,catch,"completely false,,,neither true nor false,,,completely true",,,,prevalence,Please select <i>completely true</i>.,,41,
"{""rating"":6}",4064.900000005961,,,"very unlikely,,,neither unlikely nor likely,,,very likely",united states presidents are over 35,, are over 35,prevalence,"Think about United States presidents, how likely are they to be over 35?",United States presidents,43,principled
"{""rating"":6}",3803.20000000298,completely true,filler,"completely false,,,neither true nor false,,,completely true",,How true is the above statement?,,prevalence,Getting struck by lightning is bad for your health.,,44,
"{""rating"":5}",4244.70000000298,,,"very unlikely,,,neither unlikely nor likely,,,very likely",ants can bite,, can bite,prevalence,"Think about ants, how likely are they to be able to bite?",ants,45,statistical
"{""rating"":6}",3300.70000000298,,,"very unlikely,,,neither unlikely nor likely,,,very likely",barns are buildings,, are buildings,prevalence,"Think about barns, how likely are they to be buildings?",barns,47,principled
"{""rating"":5}",4852.899999991059,,,"very unlikely,,,neither unlikely nor likely,,,very likely",teachers are female,, are female,prevalence,"Think about teachers, how likely are they to be female?",teachers,48,statistical
"{""rating"":6}",3720.70000000298,,,"very unlikely,,,neither unlikely nor likely,,,very likely",oranges grow on trees,, grow on trees,prevalence,"Think about oranges, how likely are they to grow on trees?",oranges,49,principled
"{""rating"":6}",3674.09999999404,,,"very unlikely,,,neither unlikely nor likely,,,very likely",cows have udders,, have udders,prevalence,"Think about cows, how likely are they to have udders?",cows,51,principled
"{""rating"":6}",3547.79999999702,,,"very unlikely,,,neither unlikely nor likely,,,very likely",diapers are white,, are white,prevalence,"Think about diapers, how likely are they to be white?",diapers,59,statistical
"{""rating"":4}",3705.29999999702,,,"very unlikely,,,neither unlikely nor likely,,,very likely",celebrities are arrogant,, are arrogant,prevalence,"Think about celebrities, how likely are they to be arrogant?",celebrities,63,statistical
"{""rating"":5}",4310.0,,,"very unlikely,,,neither unlikely nor likely,,,very likely",turtles walk slowly ,, walk slowly,prevalence,"Think about turtles, how likely are they to walk slowly?",turtles,66,principled
"{""rating"":6}",4279.4000000059605,,,"very unlikely,,,neither unlikely nor likely,,,very likely",hindus live in india ,, live in India,prevalence,"Think about Hindus, how likely are they to live in India?",Hindus,71,statistical
"{""rating"":6}",2507.70000000298,completely true,catch,"completely false,,,neither true nor false,,,completely true",,,,prevalence,Please select <i>completely true</i>.,,76,
"{""rating"":6}",2750.79999999702,,,"very unlikely,,,neither unlikely nor likely,,,very likely",summers are warm,, are warm,prevalence,"Think about summers, how likely are they to be warm?",summers,81,principled
"{""rating"":6}",5695.4000000059605,,,"very unlikely,,,neither unlikely nor likely,,,very likely",roller skates have laces,, have laces,prevalence,"Think about roller skates, how likely are they to have laces?",roller skates,84,statistical
"{""rating"":5}",17553.20000000298,,,"very unlikely,,,neither unlikely nor likely,,,very likely",ducks lay eggs,, lay eggs,prevalence,"Think about ducks, how likely are they to lay eggs?",ducks,96,principled
