responses,rt,answer,catch,choices,item,list_number,prompt,property,question_type,stimulus,subject,trial_num,type
"{""rating"":0}",12380,,,"very unlikely,,,neither unlikely nor likely,,,very likely",trains are long,4,, are long,cue_validity,"You learn that [unknown thing/people] are long, how likely is it to be trains?",trains,1,statistical
"{""rating"":4}",10415,,,"very unlikely,,,neither unlikely nor likely,,,very likely",squirrels live in parks,4,, live in parks,cue_validity,"You learn that [unknown thing/people] live in parks, how likely is it to be squirrels?",squirrels,2,statistical
"{""rating"":2}",6592,,,"very unlikely,,,neither unlikely nor likely,,,very likely",journalists carry notebooks,4,, carry notebooks,cue_validity,"You learn that [unknown thing/people] carry notebooks, how likely is it to be journalists?",journalists,5,statistical
"{""rating"":5}",4724,,,"very unlikely,,,neither unlikely nor likely,,,very likely",preschoolers cannot read,4,, cannot read,cue_validity,"You learn that [unknown thing/people] cannot read, how likely is it to be preschoolers?",preschoolers,10,statistical
"{""rating"":4}",5296,,,"very unlikely,,,neither unlikely nor likely,,,very likely",cheetahs hunt gazelles,4,, hunt gazelles,cue_validity,"You learn that [unknown thing/people] hunt gazelles, how likely is it to be cheetahs?",cheetahs,14,statistical
"{""rating"":3}",4987,,,"very unlikely,,,neither unlikely nor likely,,,very likely",bears can roar,4,, can roar,cue_validity,"You learn that [unknown thing/people] can roar, how likely is it to be bears?",bears,23,principled
"{""rating"":3}",5951,,,"very unlikely,,,neither unlikely nor likely,,,very likely",dogs have tails,4,, have tails,cue_validity,"You learn that [unknown thing/people] have tails, how likely is it to be dogs?",dogs,25,principled
"{""rating"":4}",3549,,,"very unlikely,,,neither unlikely nor likely,,,very likely",airplanes have wings,4,, have wings,cue_validity,"You learn that [unknown thing/people] have wings, how likely is it to be airplanes?",airplanes,26,principled
"{""rating"":1}",5096,,,"very unlikely,,,neither unlikely nor likely,,,very likely",artists are eccentric ,4,, are eccentric,cue_validity,"You learn that [unknown thing/people] are eccentric, how likely is it to be artists?",artists,27,statistical
"{""rating"":1}",6706,,,"very unlikely,,,neither unlikely nor likely,,,very likely",feathers are pretty,4,, are pretty,cue_validity,"You learn that [unknown thing/people] are pretty, how likely is it to be feathers?",feathers,35,statistical
"{""rating"":0}",13440,completely false,filler,"completely false,,,neither true nor false,,,completely true",,4,How true is the above statement?,,cue_validity,Two plus one is equal to six.,,37,
"{""rating"":0}",5225,completely false,filler,"completely false,,,neither true nor false,,,completely true",,4,How true is the above statement?,,cue_validity,The tallest man alive is five feet tall.,,39,
"{""rating"":0}",11275,,,"very unlikely,,,neither unlikely nor likely,,,very likely",scissors are right-handed,4,, are right-handed,cue_validity,"You learn that [unknown thing/people] are right-handed, how likely is it to be scissors?",scissors,41,statistical
"{""rating"":3}",3608,,,"very unlikely,,,neither unlikely nor likely,,,very likely",brazilians like soccer ,4,, like soccer,cue_validity,"You learn that [unknown thing/people] like soccer, how likely is it to be Brazilians?",Brazilians,48,statistical
"{""rating"":0}",4114,completely false,catch,"completely false,,,neither true nor false,,,completely true",,4,,,cue_validity,Please select <i>completely false</i>.,,50,
"{""rating"":1}",3971,,,"very unlikely,,,neither unlikely nor likely,,,very likely",moose are brown,4,, are brown,cue_validity,"You learn that [unknown thing/people] are brown, how likely is it to be moose?",moose,52,statistical
"{""rating"":4}",3692,,,"very unlikely,,,neither unlikely nor likely,,,very likely",wallets hold money,4,, hold money,cue_validity,"You learn that [unknown thing/people] hold money, how likely is it to be wallets?",wallets,55,principled
"{""rating"":5}",3957,,,"very unlikely,,,neither unlikely nor likely,,,very likely",books are paperbacks,4,, are paperbacks,cue_validity,"You learn that [unknown thing/people] are paperbacks, how likely is it to be books?",books,58,statistical
"{""rating"":3}",5160,,,"very unlikely,,,neither unlikely nor likely,,,very likely",frenchmen are europeans,4,, are Europeans,cue_validity,"You learn that [unknown thing/people] are Europeans, how likely is it to be Frenchmen?",Frenchmen,70,principled
"{""rating"":4}",3395,,,"very unlikely,,,neither unlikely nor likely,,,very likely",lifeguards can swim ,4,, can swim,cue_validity,"You learn that [unknown thing/people] can swim, how likely is it to be lifeguards?",lifeguards,84,principled
"{""rating"":4}",4681,,,"very unlikely,,,neither unlikely nor likely,,,very likely",cars have four wheels,4,, have four wheels,cue_validity,"You learn that [unknown thing/people] have four wheels, how likely is it to be cars?",cars,97,principled
"{""rating"":4}",5131,,,"very unlikely,,,neither unlikely nor likely,,,very likely",dancers move gracefully ,4,, move gracefully,cue_validity,"You learn that [unknown thing/people] move gracefully, how likely is it to be dancers?",dancers,102,principled
"{""rating"":1}",4362,,,"very unlikely,,,neither unlikely nor likely,,,very likely",rocking chairs are unstable,4,, are unstable,cue_validity,"You learn that [unknown thing/people] are unstable, how likely is it to be rocking chairs?",rocking chairs,104,principled
"{""rating"":3}",5253,,,"very unlikely,,,neither unlikely nor likely,,,very likely",snow is white ,4,, is white,cue_validity,"You learn that [unknown thing/people] is white, how likely is it to be snow?",snow,105,principled
"{""rating"":4}",2582,,,"very unlikely,,,neither unlikely nor likely,,,very likely",grass is green ,4,, is green,cue_validity,"You learn that [unknown thing/people] is green, how likely is it to be grass?",grass,107,principled
"{""rating"":1}",4023,,,"very unlikely,,,neither unlikely nor likely,,,very likely",eggshells are fragile ,4,, are fragile,cue_validity,"You learn that [unknown thing/people] are fragile, how likely is it to be eggshells?",eggshells,111,principled
"{""rating"":3}",5264,,,"very unlikely,,,neither unlikely nor likely,,,very likely",peacocks have beautiful tails,4,, have beautiful tails,cue_validity,"You learn that [unknown thing/people] have beautiful tails, how likely is it to be peacocks?",peacocks,112,principled
"{""rating"":0}",2815,completely false,catch,"completely false,,,neither true nor false,,,completely true",,4,,,cue_validity,Please select <i>completely false</i>.,,113,
"{""rating"":5}",4399,,,"very unlikely,,,neither unlikely nor likely,,,very likely",jews go to a synagogue,4,, go to a synagogue,cue_validity,"You learn that [unknown thing/people] go to a synagogue, how likely is it to be Jews?",Jews,115,statistical
"{""rating"":3}",3039,,,"very unlikely,,,neither unlikely nor likely,,,very likely",tables are flat,4,, are flat,cue_validity,"You learn that [unknown thing/people] are flat, how likely is it to be tables?",tables,117,principled
"{""rating"":6}",3863,,,"completely false,,,neither true nor false,,,completely true",professors are highly educated,4,How true is the above statement?, are highly educated,generic,Professors are highly educated.,professors,3,principled
"{""rating"":6}",3570,,,"completely false,,,neither true nor false,,,completely true",canadians live north of the us,4,How true is the above statement?, live north of the US,generic,Canadians live north of the US.,Canadians,7,principled
"{""rating"":6}",2786,,,"completely false,,,neither true nor false,,,completely true",mushrooms are fungi,4,How true is the above statement?, are fungi,generic,Mushrooms are fungi.,mushrooms,8,principled
"{""rating"":4}",4287,,,"completely false,,,neither true nor false,,,completely true",pigeons sit on statues ,4,How true is the above statement?, sit on statues,generic,Pigeons sit on statues.,pigeons,11,statistical
"{""rating"":5}",4078,,,"completely false,,,neither true nor false,,,completely true",bees are worker bees,4,How true is the above statement?, are worker bees,generic,Bees are worker bees.,bees,13,statistical
"{""rating"":3}",6273,,,"completely false,,,neither true nor false,,,completely true",lions are male,4,How true is the above statement?, are male,generic,Lions are male.,lions,17,statistical
"{""rating"":5}",3398,,,"completely false,,,neither true nor false,,,completely true",cats like milk,4,How true is the above statement?, like milk,generic,Cats like milk.,cats,18,statistical
"{""rating"":6}",4313,,,"completely false,,,neither true nor false,,,completely true",fire trucks have hoses,4,How true is the above statement?, have hoses,generic,Fire trucks have hoses.,fire trucks,29,principled
"{""rating"":5}",3456,,,"completely false,,,neither true nor false,,,completely true",deer are brown,4,How true is the above statement?, are brown,generic,Deer are brown.,deer,34,statistical
"{""rating"":6}",2565,,,"completely false,,,neither true nor false,,,completely true",strawberries are red ,4,How true is the above statement?, are red,generic,Strawberries are red.,strawberries,36,principled
"{""rating"":5}",2480,,,"completely false,,,neither true nor false,,,completely true",elk are brown,4,How true is the above statement?, are brown,generic,Elk are brown.,elk,38,statistical
"{""rating"":0}",4207,completely false,filler,"completely false,,,neither true nor false,,,completely true",,4,How true is the above statement?,,generic,The heaviest man alive weighs twelve pounds.,,44,
"{""rating"":6}",2403,,,"completely false,,,neither true nor false,,,completely true",cherries are red ,4,How true is the above statement?, are red,generic,Cherries are red.,cherries,45,principled
"{""rating"":5}",3548,,,"completely false,,,neither true nor false,,,completely true",winters are snowy ,4,How true is the above statement?, are snowy,generic,Winters are snowy.,winters,47,statistical
"{""rating"":5}",3454,,,"completely false,,,neither true nor false,,,completely true",bricks are rectangular,4,How true is the above statement?, are rectangular,generic,Bricks are rectangular.,bricks,49,principled
"{""rating"":6}",4226,,,"completely false,,,neither true nor false,,,completely true",rocks are jagged ,4,How true is the above statement?, are jagged,generic,Rocks are jagged.,rocks,61,statistical
"{""rating"":4}",6262,,,"completely false,,,neither true nor false,,,completely true",sows are pink,4,How true is the above statement?, are pink,generic,Sows are pink.,sows,62,statistical
"{""rating"":3}",4241,,,"completely false,,,neither true nor false,,,completely true",mormons don’t drink alcohol,4,How true is the above statement?, don’t drink alcohol,generic,Mormons don’t drink alcohol.,Mormons,65,principled
"{""rating"":6}",3101,,,"completely false,,,neither true nor false,,,completely true",kangaroos have pouches,4,How true is the above statement?, have pouches,generic,Kangaroos have pouches.,kangaroos,66,principled
"{""rating"":3}",3210,,,"completely false,,,neither true nor false,,,completely true",germans drink beer ,4,How true is the above statement?, drink beer,generic,Germans drink beer.,Germans,73,statistical
"{""rating"":5}",6755,,,"completely false,,,neither true nor false,,,completely true",taxis are yellow ,4,How true is the above statement?, are yellow,generic,Taxis are yellow.,taxis,74,statistical
"{""rating"":3}",3806,,,"completely false,,,neither true nor false,,,completely true",sheep produce milk,4,How true is the above statement?, produce milk,generic,Sheep produce milk.,sheep,76,principled
"{""rating"":2}",3379,,,"completely false,,,neither true nor false,,,completely true",gymnasts are young,4,How true is the above statement?, are young,generic,Gymnasts are young.,gymnasts,78,statistical
"{""rating"":6}",2879,completely true,catch,"completely false,,,neither true nor false,,,completely true",,4,,,generic,Please select <i>completely true</i>.,,87,
"{""rating"":5}",3834,,,"completely false,,,neither true nor false,,,completely true",dogs bark at strangers,4,How true is the above statement?, bark at strangers,generic,Dogs bark at strangers.,dogs,88,statistical
"{""rating"":6}",4630,completely true,filler,"completely false,,,neither true nor false,,,completely true",,4,How true is the above statement?,,generic,Committing murders for fun is morally wrong.,,99,
"{""rating"":6}",2779,completely true,catch,"completely false,,,neither true nor false,,,completely true",,4,,,generic,Please select <i>completely true</i>.,,106,
"{""rating"":6}",2832,,,"completely false,,,neither true nor false,,,completely true",ambulances have seatbelts,4,How true is the above statement?, have seatbelts,generic,Ambulances have seatbelts.,ambulances,109,statistical
"{""rating"":6}",2226,,,"completely false,,,neither true nor false,,,completely true",trampolines are bouncy,4,How true is the above statement?, are bouncy,generic,Trampolines are bouncy.,trampolines,114,principled
"{""rating"":6}",3728,,,"completely false,,,neither true nor false,,,completely true",bachelors are unmarried,4,How true is the above statement?, are unmarried,generic,Bachelors are unmarried.,bachelors,119,principled
"{""rating"":5}",5924,,,"completely false,,,neither true nor false,,,completely true",raccoons look like bandits,4,How true is the above statement?, look like bandits,by_virtue_of,"<i>Because</i> they are raccoons, raccoons look like bandits.",raccoons,6,principled
"{""rating"":0}",7129,,,"completely false,,,neither true nor false,,,completely true",teachers are female,4,How true is the above statement?, are female,by_virtue_of,"<i>Because</i> they are teachers, teachers are female.",teachers,9,statistical
"{""rating"":3}",5007,,,"completely false,,,neither true nor false,,,completely true",pigs are kept in pens ,4,How true is the above statement?, are kept in pens,by_virtue_of,"<i>Because</i> they are pigs, pigs are kept in pens.",pigs,12,statistical
"{""rating"":6}",5039,,,"completely false,,,neither true nor false,,,completely true",trumpets are instruments,4,How true is the above statement?, are instruments,by_virtue_of,"<i>Because</i> they are trumpets, trumpets are instruments.",trumpets,15,principled
"{""rating"":6}",3043,,,"completely false,,,neither true nor false,,,completely true",clocks tell time,4,How true is the above statement?, tell time,by_virtue_of,"<i>Because</i> they are clocks, clocks tell time.",clocks,16,principled
"{""rating"":1}",6541,,,"completely false,,,neither true nor false,,,completely true",hindus live in india ,4,How true is the above statement?, live in India,by_virtue_of,"<i>Because</i> they are Hindus, Hindus live in India.",Hindus,24,statistical
"{""rating"":0}",3092,completely false,catch,"completely false,,,neither true nor false,,,completely true",,4,,,by_virtue_of,Please select <i>completely false</i>.,,30,
"{""rating"":6}",3266,,,"completely false,,,neither true nor false,,,completely true",lemons are sour ,4,How true is the above statement?, are sour,by_virtue_of,"<i>Because</i> they are lemons, lemons are sour.",lemons,40,principled
"{""rating"":3}",6978,,,"completely false,,,neither true nor false,,,completely true",celebrities are arrogant,4,How true is the above statement?, are arrogant,by_virtue_of,"<i>Because</i> they are celebrities, celebrities are arrogant.",celebrities,42,statistical
"{""rating"":5}",5255,,,"completely false,,,neither true nor false,,,completely true",dolls are manufactured,4,How true is the above statement?, are manufactured,by_virtue_of,"<i>Because</i> they are dolls, dolls are manufactured.",dolls,46,principled
"{""rating"":2}",4383,,,"completely false,,,neither true nor false,,,completely true",bikers have tattoos ,4,How true is the above statement?, have tattoos,by_virtue_of,"<i>Because</i> they are bikers, bikers have tattoos.",bikers,51,statistical
